method,mean_MSE,mean_ESS,Run_Time,Lost_tracks,beta,d,m1
EDH,1.3436935,,1.1816956000002392,0.0,straight,10,0.05
wEDH,1.191312,9.213911056518555,1.305442300001232,0.0,straight,10,0.05
LEDH,1.0942173,,1.7524458000007144,0.0,straight,10,0.05
wLEDH,1.119242,9.496881484985352,1.2998920999998518,0.0,straight,10,0.05
EDH,4.0048327,,1.0221024000002217,0.0,geometric,10,0.05
wEDH,3.1665468,9.020441055297852,1.093492800000604,0.0,geometric,10,0.05
LEDH,3.883979,,1.1751517000011518,0.0,geometric,10,0.05
wLEDH,3.4452813,9.267915725708008,1.305285399999775,0.0,geometric,10,0.05
EDH,1.024069,,1.087852999999086,0.0,dai_star,10,0.05
wEDH,0.9149149,9.079713821411133,1.0593300000000454,0.0,dai_star,10,0.05
LEDH,0.8310237,,1.275503300001219,0.0,dai_star,10,0.05
wLEDH,0.8243858,9.361379623413086,1.3061093999986042,0.0,dai_star,10,0.05
EDH,0.73671913,,1.6921259999999165,0.0,straight,10,1.0
wEDH,0.7804552,6.970379829406738,1.486221099999966,0.0,straight,10,1.0
LEDH,0.79834294,,1.5778968000013265,0.0,straight,10,1.0
wLEDH,0.8043188,8.677450180053711,1.4606449000002613,0.0,straight,10,1.0
EDH,0.43735576,,1.0968779000013456,0.0,geometric,10,1.0
wEDH,0.7345448,6.834785461425781,1.0178381000005174,0.0,geometric,10,1.0
LEDH,0.4989523,,1.5670704000003752,0.0,geometric,10,1.0
wLEDH,0.54245275,8.29932689666748,1.2244368000010581,0.0,geometric,10,1.0
EDH,0.6405891,,0.9692871000006562,0.0,dai_star,10,1.0
wEDH,0.68327564,6.588184356689453,1.0318121000000247,0.0,dai_star,10,1.0
LEDH,0.69959533,,1.161449100000027,0.0,dai_star,10,1.0
wLEDH,0.7208036,8.716453552246094,1.2597003000009863,0.0,dai_star,10,1.0
